Gene	Non-unique Gene name	Annotation	No. isolates	No. sequences	Avg sequences per isolate	Genome Fragment	Order within Fragment	Accessory Fragment	Accessory Order with Fragment	QC	Min group size nuc	Max group size nuc	Avg group size nuc	ERR494558	ERR713656	ERR278423	ERR083948	ERR083973	ERR084064	ERR108372	ERR128814	ERR193205	ERR221288	ERR221374	ERR278230	ERR278242	ERR278359	ERR278461	ERR343073	ERR356128	ERR593768	H1604	H1605	H1606	H1607	H1608	H1662	H1664	H1666	H1668	H1670	H704	SRR065736
fliW2		Flagellar assembly factor FliW	36	36	1	1	602				389	389	389	ERR494558_01209	ERR713656_01299	ERR278423_00918	ERR083948_00616	ERR083973_00808	ERR084064_01606	ERR108372_00500	ERR128814_00694	ERR193205_00729	ERR221288_00584	ERR221374_01308	ERR278230_01344	ERR278242_00896	ERR278359_01554	ERR278461_01482	ERR343073_01025	ERR356128_01541	ERR593768_01261	H1604_01114	H1605_01242	H1606_01097	H1607_01614	H1608_00966	H1662_01175	H1664_01258	H1666_01436	H1668_01223	H1670_01241	H704_01068	SRR065736_01071
rpsQ		SSU ribosomal protein S17p (S11e)	36	36	1	1	3069				251	251	251	ERR494558_00142	ERR713656_00143	ERR278423_00143	ERR083948_01657	ERR083973_01711	ERR084064_00157	ERR108372_01698	ERR128814_01647	ERR193205_01663	ERR221288_01638	ERR221374_00160	ERR278230_01658	ERR278242_01579	ERR278359_00160	ERR278461_00139	ERR343073_00142	ERR356128_00139	ERR593768_00168	H1604_00019	H1605_00139	H1606_01734	H1607_01347	H1608_01640	H1662_00084	H1664_00155	H1666_01159	H1668_00079	H1670_00085	H704_01655	SRR065736_01601
rpmF		LSU ribosomal protein L32p	36	36	1	1	2778				146	146	146	ERR494558_00492	ERR713656_00494	ERR278423_00497	ERR083948_00275	ERR083973_00297	ERR084064_00407	ERR108372_01322	ERR128814_01291	ERR193205_00291	ERR221288_00069	ERR221374_00506	ERR278230_00168	ERR278242_00169	ERR278359_00532	ERR278461_00498	ERR343073_01410	ERR356128_00498	ERR593768_00492	H1604_00380	H1605_00484	H1606_00290	H1607_00290	H1608_00278	H1662_00434	H1664_00511	H1666_00285	H1668_00470	H1670_00438	H704_00339	SRR065736_00343
fliM		Flagellar motor switch protein FliM	36	36	1	1	2930				1079	1079	1079	ERR494558_00235	ERR713656_00401	ERR278423_00235	ERR083948_00024	ERR083973_00033	ERR084064_00248	ERR108372_01512	ERR128814_01547	ERR193205_00031	ERR221288_01540	ERR221374_00250	ERR278230_00297	ERR278242_00300	ERR278359_00252	ERR278461_00236	ERR343073_00238	ERR356128_00237	ERR593768_00260	H1604_00122	H1605_00233	H1606_00032	H1607_00032	H1608_00028	H1662_00176	H1664_00246	H1666_00028	H1668_00159	H1670_00177	H704_00080	SRR065736_00085
group_2743		monoheme cytochrome c	36	36	1	1	3020				341	341	341	ERR494558_00180	ERR713656_00181	ERR278423_00181	ERR083948_01700	ERR083973_01746	ERR084064_00192	ERR108372_01736	ERR128814_01608	ERR193205_01625	ERR221288_01603	ERR221374_00203	ERR278230_01615	ERR278242_01535	ERR278359_00195	ERR278461_00177	ERR343073_00181	ERR356128_00178	ERR593768_00206	H1604_00066	H1605_00177	H1606_01772	H1607_01309	H1608_01682	H1662_00122	H1664_00189	H1666_01116	H1668_00117	H1670_00123	H704_00025	SRR065736_00025
argG		Argininosuccinate synthase	36	36	1	1	1785				1220	1220	1220	ERR494558_00831	ERR713656_00840	ERR278423_01528	ERR083948_00481	ERR083973_01471	ERR084064_00748	ERR108372_01093	ERR128814_00244	ERR193205_01516	ERR221288_00979	ERR221374_01117	ERR278230_00939	ERR278242_00410	ERR278359_00873	ERR278461_00842	ERR343073_00570	ERR356128_00843	ERR593768_00884	H1604_00718	H1605_00832	H1606_00628	H1607_00629	H1608_01721	H1662_00777	H1664_00852	H1666_01311	H1668_00818	H1670_00839	H704_00676	SRR065736_00692
group_2745		Putative flagellar motility protein	36	36	1	1	2826				605	605	605	ERR494558_00531	ERR713656_00533	ERR278423_00536	ERR083948_00314	ERR083973_00338	ERR084064_00449	ERR108372_01363	ERR128814_01249	ERR193205_00332	ERR221288_00111	ERR221374_00545	ERR278230_00207	ERR278242_00208	ERR278359_00574	ERR278461_00537	ERR343073_01368	ERR356128_00538	ERR593768_00531	H1604_00419	H1605_00526	H1606_00331	H1607_00331	H1608_00317	H1662_00474	H1664_00553	H1666_00324	H1668_00511	H1670_00478	H704_00380	SRR065736_00393
frdB		Fumarate reductase iron-sulfur subunit	36	36	1	1	2865				725	725	725	ERR494558_00570	ERR713656_00572	ERR278423_00575	ERR083948_00352	ERR083973_00377	ERR084064_00488	ERR108372_01402	ERR128814_01210	ERR193205_00371	ERR221288_00150	ERR221374_00583	ERR278230_00245	ERR278242_00246	ERR278359_00613	ERR278461_00576	ERR343073_01329	ERR356128_00577	ERR593768_00570	H1604_00458	H1605_00565	H1606_00371	H1607_00371	H1608_00355	H1662_00513	H1664_00594	H1666_00363	H1668_00550	H1670_00517	H704_00419	SRR065736_00433
exbD_2		TonB system transport protein ExbD	36	36	1	1	1982				389	389	389	ERR494558_00282	ERR713656_00353	ERR278423_00284	ERR083948_00079	ERR083973_00083	ERR084064_00298	ERR108372_01464	ERR128814_01498	ERR193205_00081	ERR221288_01490	ERR221374_00304	ERR278230_00351	ERR278242_00356	ERR278359_00301	ERR278461_00285	ERR343073_00286	ERR356128_00286	ERR593768_00307	H1604_00170	H1605_00281	H1606_00081	H1607_00082	H1608_00079	H1662_00223	H1664_00294	H1666_00082	H1668_00263	H1670_00226	H704_00128	SRR065736_00134
recA		recombinase A	36	36	1	1	3315				1031	1031	1031	ERR494558_00116	ERR713656_00117	ERR278423_00117	ERR083948_01627	ERR083973_01690	ERR084064_00135	ERR108372_01677	ERR128814_01669	ERR193205_01684	ERR221288_01659	ERR221374_00130	ERR278230_01688	ERR278242_01609	ERR278359_00138	ERR278461_00118	ERR343073_00120	ERR356128_00118	ERR593768_00142	H1604_01708	H1605_00117	H1606_01713	H1607_01368	H1608_01611	H1662_00058	H1664_00133	H1666_01189	H1668_00058	H1670_00058	H704_01632	SRR065736_01577
lolC		permease	36	36	1	1	434				1205	1205	1205	ERR494558_01080	ERR713656_01167	ERR278423_00789	ERR083948_01179	ERR083973_00669	ERR084064_01465	ERR108372_00639	ERR128814_00519	ERR193205_00589	ERR221288_00442	ERR221374_00938	ERR278230_00757	ERR278242_01383	ERR278359_01414	ERR278461_01349	ERR343073_00849	ERR356128_01408	ERR593768_01132	H1604_00984	H1605_01097	H1606_00901	H1607_00904	H1608_00838	H1662_01045	H1664_01119	H1666_00706	H1668_01092	H1670_01106	H704_00937	SRR065736_00938
livG		branched-chain amino-acid ABC transporter ATP-binding protein	36	36	1	1	526				770	770	770	ERR494558_01150	ERR713656_01239	ERR278423_00859	ERR083948_00558	ERR083973_00746	ERR084064_01538	ERR108372_00563	ERR128814_00636	ERR193205_00666	ERR221288_00521	ERR221374_01250	ERR278230_01402	ERR278242_00838	ERR278359_01487	ERR278461_01421	ERR343073_00967	ERR356128_01479	ERR593768_01202	H1604_01054	H1605_01184	H1606_00976	H1607_01735	H1608_00908	H1662_01116	H1664_01191	H1666_01378	H1668_01162	H1670_01179	H704_01008	SRR065736_01009
tolB		translocation protein TolB	36	36	1	1	1984				1208	1208	1208	ERR494558_00284	ERR713656_00351	ERR278423_00286	ERR083948_00081	ERR083973_00085	ERR084064_00300	ERR108372_01462	ERR128814_01496	ERR193205_00083	ERR221288_01488	ERR221374_00306	ERR278230_00353	ERR278242_00358	ERR278359_00303	ERR278461_00287	ERR343073_00288	ERR356128_00288	ERR593768_00309	H1604_00172	H1605_00283	H1606_00083	H1607_00084	H1608_00081	H1662_00225	H1664_00296	H1666_00084	H1668_00265	H1670_00228	H704_00130	SRR065736_00136
hiuH		5-hydroxyisourate hydrolase	36	36	1	1	1846				413	413	413	ERR494558_00881	ERR713656_00891	ERR278423_01476	ERR083948_01336	ERR083973_01523	ERR084064_00797	ERR108372_01042	ERR128814_00298	ERR193205_01570	ERR221288_00928	ERR221374_00759	ERR278230_00524	ERR278242_00458	ERR278359_00922	ERR278461_00888	ERR343073_00625	ERR356128_00958	ERR593768_00930	H1604_00769	H1605_00883	H1606_00679	H1607_00681	H1608_00612	H1662_00827	H1664_00902	H1666_00481	H1668_00875	H1670_00889	H704_00726	SRR065736_00738
group_2753		membrane protein	36	36	1	1	1320				1442	1442	1442	ERR494558_00767	ERR713656_00775	ERR278423_01592	ERR083948_01063	ERR083973_01406	ERR084064_00683	ERR108372_01156	ERR128814_00177	ERR193205_01450	ERR221288_01044	ERR221374_01717	ERR278230_01534	ERR278242_01266	ERR278359_00809	ERR278461_00775	ERR343073_00502	ERR356128_00777	ERR593768_00819	H1604_00653	H1605_00766	H1606_00564	H1607_00564	H1608_00526	H1662_00712	H1664_00786	H1666_01725	H1668_00753	H1670_00774	H704_00613	SRR065736_00627
uppS		undecaprenyl diphosphate synthase	36	36	1	1	2671				668	668	668	ERR494558_00964	ERR713656_01048	ERR278423_00673	ERR083948_01301	ERR083973_00547	ERR084064_01295	ERR108372_00756	ERR128814_00401	ERR193205_00469	ERR221288_00321	ERR221374_00816	ERR278230_00635	ERR278242_01504	ERR278359_01246	ERR278461_01228	ERR343073_00728	ERR356128_01289	ERR593768_01014	H1604_00871	H1605_00979	H1606_00782	H1607_00784	H1608_00718	H1662_00928	H1664_01000	H1666_00589	H1668_00974	H1670_00988	H704_00823	SRR065736_00830
ygeA		aspartate racemase	36	36	1	1	1957				692	695	694	ERR494558_00257	ERR713656_00378	ERR278423_00259	ERR083948_00052	ERR083973_00058	ERR084064_00273	ERR108372_01489	ERR128814_01524	ERR193205_00056	ERR221288_01515	ERR221374_00278	ERR278230_00325	ERR278242_00329	ERR278359_00276	ERR278461_00260	ERR343073_00261	ERR356128_00261	ERR593768_00282	H1604_00144	H1605_00256	H1606_00056	H1607_00057	H1608_00053	H1662_00198	H1664_00268	H1666_00056	H1668_00238	H1670_00201	H704_00102	SRR065736_00108
group_2756		membrane protein	36	36	1	1	533				506	506	506	ERR494558_01157	ERR713656_01246	ERR278423_00866	ERR083948_00565	ERR083973_00753	ERR084064_01545	ERR108372_00556	ERR128814_00643	ERR193205_00673	ERR221288_00528	ERR221374_01257	ERR278230_01395	ERR278242_00845	ERR278359_01494	ERR278461_01428	ERR343073_00974	ERR356128_01486	ERR593768_01209	H1604_01061	H1605_01191	H1606_00983	H1607_01728	H1608_00915	H1662_01123	H1664_01198	H1666_01385	H1668_01169	H1670_01186	H704_01015	SRR065736_01016
pgi		Glucose-6-phosphate isomerase	36	36	1	1	1009				1220	1220	1220	ERR494558_01693	ERR713656_01746	ERR278423_01370	ERR083948_00974	ERR083973_01279	ERR084064_01023	ERR108372_00013	ERR128814_01143	ERR193205_01195	ERR221288_00871	ERR221374_01062	ERR278230_00889	ERR278242_00694	ERR278359_01153	ERR278461_01192	ERR343073_01616	ERR356128_01250	ERR593768_01688	H1604_01538	H1605_01676	H1606_01549	H1607_01256	H1608_01377	H1662_01602	H1664_01633	H1666_00956	H1668_01675	H1670_01675	H704_01487	SRR065736_01432
cydA		Cytochrome d ubiquinol oxidase subunit I	36	36	1	1	1955				1562	1562	1562	ERR494558_00255	ERR713656_00381	ERR278423_00255	ERR083948_00046	ERR083973_00054	ERR084064_00269	ERR108372_01491	ERR128814_01527	ERR193205_00052	ERR221288_01519	ERR221374_00272	ERR278230_00319	ERR278242_00323	ERR278359_00272	ERR278461_00256	ERR343073_00258	ERR356128_00257	ERR593768_00280	H1604_00142	H1605_00253	H1606_00053	H1607_00053	H1608_00048	H1662_00196	H1664_00265	H1666_00050	H1668_00236	H1670_00199	H704_00100	SRR065736_00105
frdA		fumarate reductase flavoprotein subunit	36	36	1	1	2864				1991	1991	1991	ERR494558_00569	ERR713656_00571	ERR278423_00574	ERR083948_00351	ERR083973_00376	ERR084064_00487	ERR108372_01401	ERR128814_01211	ERR193205_00370	ERR221288_00149	ERR221374_00582	ERR278230_00244	ERR278242_00245	ERR278359_00612	ERR278461_00575	ERR343073_01330	ERR356128_00576	ERR593768_00569	H1604_00457	H1605_00564	H1606_00370	H1607_00370	H1608_00354	H1662_00512	H1664_00593	H1666_00362	H1668_00549	H1670_00516	H704_00418	SRR065736_00432
group_2760		outer membrane assembly lipoprotein	36	36	1	1	601				647	647	647	ERR494558_01208	ERR713656_01298	ERR278423_00917	ERR083948_00615	ERR083973_00807	ERR084064_01605	ERR108372_00501	ERR128814_00693	ERR193205_00728	ERR221288_00583	ERR221374_01307	ERR278230_01345	ERR278242_00895	ERR278359_01553	ERR278461_01481	ERR343073_01024	ERR356128_01540	ERR593768_01260	H1604_01113	H1605_01241	H1606_01096	H1607_01615	H1608_00965	H1662_01174	H1664_01257	H1666_01435	H1668_01222	H1670_01240	H704_01067	SRR065736_01070
lpxC		UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	36	36	1	1	2007				884	884	884	ERR494558_00304	ERR713656_00331	ERR278423_00306	ERR083948_00104	ERR083973_00105	ERR084064_00321	ERR108372_01442	ERR128814_01476	ERR193205_00103	ERR221288_01468	ERR221374_00326	ERR278230_01832	ERR278242_01780	ERR278359_00324	ERR278461_00307	ERR343073_00308	ERR356128_00308	ERR593768_00329	H1604_00193	H1605_00303	H1606_00103	H1607_00104	H1608_00100	H1662_00245	H1664_00317	H1666_00103	H1668_00285	H1670_00248	H704_00151	SRR065736_00157
cysL		LysR family transcriptional regulator	36	36	1	1	511				881	881	881	ERR494558_01134	ERR713656_01223	ERR278423_00843	ERR083948_00542	ERR083973_00730	ERR084064_01522	ERR108372_00579	ERR128814_00575	ERR193205_00650	ERR221288_00505	ERR221374_01234	ERR278230_01418	ERR278242_00822	ERR278359_01471	ERR278461_01405	ERR343073_00905	ERR356128_01463	ERR593768_01186	H1604_01038	H1605_01151	H1606_00960	H1607_01751	H1608_00892	H1662_01100	H1664_01175	H1666_01362	H1668_01146	H1670_01162	H704_00992	SRR065736_00993
group_2763		FIG00470277: hypothetical protein	36	36	1	1	2440				314	314	314	ERR494558_01563	ERR713656_01605	ERR278423_01227	ERR083948_01408	ERR083973_01125	ERR084064_00872	ERR108372_00963	ERR128814_01009	ERR193205_01048	ERR221288_01281	ERR221374_01597	ERR278230_01057	ERR278242_01184	ERR278359_00998	ERR278461_01041	ERR343073_01750	ERR356128_01099	ERR593768_01559	H1604_01413	H1605_01543	H1606_01404	H1607_01110	H1608_01250	H1662_01473	H1664_01508	H1666_00829	H1668_01527	H1670_01544	H704_01365	SRR065736_01335
porA_3		Pyruvate-flavodoxin oxidoreductase	36	36	1	1	1101				3560	3560	3560	ERR494558_01637	ERR713656_01690	ERR278423_01313	ERR083948_00915	ERR083973_01218	ERR084064_00966	ERR108372_00872	ERR128814_01085	ERR193205_01141	ERR221288_01189	ERR221374_01003	ERR278230_00829	ERR278242_00634	ERR278359_01096	ERR278461_01135	ERR343073_01674	ERR356128_01192	ERR593768_01633	H1604_01482	H1605_01618	H1606_01495	H1607_01202	H1608_01317	H1662_01545	H1664_01578	H1666_00897	H1668_01619	H1670_01618	H704_01432	SRR065736_01377
flgC		Flagellar basal-body rod protein FlgC	36	36	1	1	1232				494	494	494	ERR494558_00693	ERR713656_00701	ERR278423_01666	ERR083948_01130	ERR083973_01332	ERR084064_00606	ERR108372_01230	ERR128814_00104	ERR193205_01377	ERR221288_01118	ERR221374_01650	ERR278230_01467	ERR278242_01333	ERR278359_00732	ERR278461_00701	ERR343073_00429	ERR356128_00701	ERR593768_00745	H1604_00577	H1605_00693	H1606_00490	H1607_00491	H1608_00461	H1662_00637	H1664_00710	H1666_01657	H1668_00677	H1670_00697	H704_00537	SRR065736_00551
rplO		LSU ribosomal protein L15p (L27Ae)	36	36	1	1	3078				392	392	392	ERR494558_00133	ERR713656_00134	ERR278423_00134	ERR083948_01648	ERR083973_01702	ERR084064_00148	ERR108372_01689	ERR128814_01656	ERR193205_01672	ERR221288_01647	ERR221374_00151	ERR278230_01667	ERR278242_01588	ERR278359_00151	ERR278461_00130	ERR343073_00133	ERR356128_00130	ERR593768_00159	H1604_00010	H1605_00130	H1606_01725	H1607_01356	H1608_01631	H1662_00075	H1664_00146	H1666_01168	H1668_00070	H1670_00076	H704_01646	SRR065736_01592
miaA		tRNA delta(2)-isopentenylpyrophosphate transferase	36	36	1	1	2032				869	869	869	ERR494558_00337	ERR713656_00227	ERR278423_00339	ERR083948_00142	ERR083973_00139	ERR084064_01149	ERR108372_00157	ERR128814_01443	ERR193205_00137	ERR221288_01434	ERR221374_00364	ERR278230_00026	ERR278242_00026	ERR278359_00361	ERR278461_00342	ERR343073_01561	ERR356128_00341	ERR593768_00023	H1604_00225	H1605_00335	H1606_00137	H1607_00137	H1608_00139	H1662_00278	H1664_00350	H1666_00142	H1668_00318	H1670_00281	H704_00183	SRR065736_00189
dnaE		DNA polymerase III subunit alpha	36	36	1	1	1849				3602	3602	3602	ERR494558_00884	ERR713656_00894	ERR278423_01473	ERR083948_01333	ERR083973_01526	ERR084064_00800	ERR108372_01039	ERR128814_00301	ERR193205_01573	ERR221288_00925	ERR221374_00762	ERR278230_00527	ERR278242_00461	ERR278359_00925	ERR278461_00891	ERR343073_00628	ERR356128_00961	ERR593768_00933	H1604_00772	H1605_00886	H1606_00682	H1607_00684	H1608_00615	H1662_00830	H1664_00905	H1666_00484	H1668_00878	H1670_00892	H704_00729	SRR065736_00741
fdhB1		"Formate dehydrogenase-O, iron-sulfur subunit ; Putative formate dehydrogenase iron-sulfur subunit"	36	36	1	1	1067				641	641	641	ERR494558_01672	ERR713656_01725	ERR278423_01348	ERR083948_00949	ERR083973_01252	ERR084064_01000	ERR108372_00838	ERR128814_01119	ERR193205_01175	ERR221288_01155	ERR221374_01037	ERR278230_00864	ERR278242_00669	ERR278359_01130	ERR278461_01169	ERR343073_01640	ERR356128_01227	ERR593768_01668	H1604_01517	H1605_01653	H1606_01529	H1607_01236	H1608_01351	H1662_01581	H1664_01612	H1666_00931	H1668_01654	H1670_01654	H704_01466	SRR065736_01411
smpB		SsrA-binding protein	36	36	1	1	632				452	452	452	ERR494558_01239	ERR713656_01329	ERR278423_00948	ERR083948_00646	ERR083973_00838	ERR084064_01636	ERR108372_00470	ERR128814_00724	ERR193205_00759	ERR221288_00614	ERR221374_01338	ERR278230_01314	ERR278242_00926	ERR278359_01584	ERR278461_01512	ERR343073_01055	ERR356128_01571	ERR593768_01290	H1604_01144	H1605_01272	H1606_01127	H1607_01584	H1608_00996	H1662_01205	H1664_01288	H1666_01466	H1668_01253	H1670_01271	H704_01098	SRR065736_01101
atpH		F0F1 ATP synthase subunit delta	36	36	1	1	1976				521	521	521	ERR494558_00276	ERR713656_00359	ERR278423_00278	ERR083948_00073	ERR083973_00077	ERR084064_00292	ERR108372_01470	ERR128814_01504	ERR193205_00075	ERR221288_01496	ERR221374_00298	ERR278230_00345	ERR278242_00350	ERR278359_00295	ERR278461_00279	ERR343073_00280	ERR356128_00280	ERR593768_00301	H1604_00164	H1605_00275	H1606_00075	H1607_00076	H1608_00073	H1662_00217	H1664_00288	H1666_00076	H1668_00257	H1670_00220	H704_00122	SRR065736_00128
metN_1		D-methionine transport system ATP-binding protein	36	36	1	1	1902				1010	1010	1010	ERR494558_00936	ERR713656_00999	ERR278423_00623	ERR083948_01762	ERR083973_00500	ERR084064_01248	ERR108372_00803	ERR128814_00354	ERR193205_00422	ERR221288_00274	ERR221374_00643	ERR278230_00587	ERR278242_00519	ERR278359_01199	ERR278461_00947	ERR343073_00681	ERR356128_01012	ERR593768_00985	H1604_00824	H1605_00934	H1606_00734	H1607_00736	H1608_00672	H1662_00880	H1664_00952	H1666_00542	H1668_00926	H1670_00940	H704_00776	SRR065736_00782
nifU		Iron-sulfur cluster assembly scaffold protein IscU/NifU-like	36	36	1	1	1590				971	971	971	ERR494558_00405	ERR713656_00296	ERR278423_00409	ERR083948_00194	ERR083973_00208	ERR084064_01075	ERR108372_00225	ERR128814_01380	ERR193205_00204	ERR221288_01362	ERR221374_00416	ERR278230_00078	ERR278242_00078	ERR278359_00434	ERR278461_00412	ERR343073_01498	ERR356128_00412	ERR593768_00406	H1604_00293	H1605_00398	H1606_00204	H1607_00205	H1608_00191	H1662_00346	H1664_00421	H1666_00195	H1668_00386	H1670_00351	H704_00252	SRR065736_00258
cynT		Carbonic anhydrase	36	36	1	1	1592				635	635	635	ERR494558_00403	ERR713656_00294	ERR278423_00407	ERR083948_00192	ERR083973_00206	ERR084064_01077	ERR108372_00223	ERR128814_01382	ERR193205_00202	ERR221288_01364	ERR221374_00414	ERR278230_00076	ERR278242_00076	ERR278359_00432	ERR278461_00410	ERR343073_01500	ERR356128_00410	ERR593768_00404	H1604_00291	H1605_00396	H1606_00202	H1607_00203	H1608_00189	H1662_00344	H1664_00419	H1666_00193	H1668_00384	H1670_00349	H704_00250	SRR065736_00256
soj		Chromosome (plasmid) partitioning protein ParA	36	36	1	1	1972				785	785	785	ERR494558_00272	ERR713656_00363	ERR278423_00274	ERR083948_00069	ERR083973_00073	ERR084064_00288	ERR108372_01474	ERR128814_01508	ERR193205_00071	ERR221288_01500	ERR221374_00294	ERR278230_00341	ERR278242_00346	ERR278359_00291	ERR278461_00275	ERR343073_00276	ERR356128_00276	ERR593768_00297	H1604_00160	H1605_00271	H1606_00071	H1607_00072	H1608_00069	H1662_00213	H1664_00284	H1666_00072	H1668_00253	H1670_00216	H704_00118	SRR065736_00124
hemL		glutamate-1-semialdehyde aminotransferase	36	36	1	1	2638				1274	1274	1274	ERR494558_00993	ERR713656_01077	ERR278423_00702	ERR083948_01271	ERR083973_00576	ERR084064_01324	ERR108372_00727	ERR128814_00430	ERR193205_00498	ERR221288_00350	ERR221374_00846	ERR278230_00665	ERR278242_01474	ERR278359_01275	ERR278461_01257	ERR343073_00757	ERR356128_01318	ERR593768_01042	H1604_00900	H1605_01008	H1606_00811	H1607_00813	H1608_00748	H1662_00958	H1664_01030	H1666_00619	H1668_01004	H1670_01017	H704_00852	SRR065736_00857
pgbA		exporting protein	36	36	1	1	1487				725	725	725	ERR494558_01342	ERR713656_01433	ERR278423_01052	ERR083948_00755	ERR083973_00949	ERR084064_01740	ERR108372_00359	ERR128814_00829	ERR193205_00869	ERR221288_00726	ERR221374_01447	ERR278230_01205	ERR278242_01035	ERR278359_01689	ERR278461_01618	ERR343073_01159	ERR356128_01678	ERR593768_01391	H1604_01246	H1605_01376	H1606_01236	H1607_00940	H1608_01103	H1662_01307	H1664_01353	H1666_01575	H1668_01358	H1670_01376	H704_01197	SRR065736_01168
aat		leucyl/phenylalanyl-tRNA--protein transferase	36	36	1	1	636				647	647	647	ERR494558_01243	ERR713656_01333	ERR278423_00952	ERR083948_00650	ERR083973_00842	ERR084064_01640	ERR108372_00466	ERR128814_00728	ERR193205_00763	ERR221288_00618	ERR221374_01342	ERR278230_01310	ERR278242_00930	ERR278359_01588	ERR278461_01516	ERR343073_01059	ERR356128_01575	ERR593768_01294	H1604_01148	H1605_01276	H1606_01131	H1607_01580	H1608_01000	H1662_01209	H1664_01292	H1666_01470	H1668_01257	H1670_01275	H704_01102	SRR065736_01105
thyX		Thymidylate synthase thyX	36	36	1	1	2991				623	623	623	ERR494558_00202	ERR713656_00202	ERR278423_00203	ERR083948_01722	ERR083973_01768	ERR084064_00213	ERR108372_01757	ERR128814_01586	ERR193205_01602	ERR221288_01580	ERR221374_00225	ERR278230_01593	ERR278242_01513	ERR278359_00217	ERR278461_00201	ERR343073_00202	ERR356128_00202	ERR593768_00228	H1604_00088	H1605_00199	H1606_01793	H1607_01287	H1608_01703	H1662_00144	H1664_00211	H1666_01094	H1668_00141	H1670_00145	H704_00048	SRR065736_00047
gyrB		DNA gyrase subunit B	36	36	1	1	3021				2309	2309	2309	ERR494558_00179	ERR713656_00180	ERR278423_00180	ERR083948_01699	ERR083973_01745	ERR084064_00191	ERR108372_01735	ERR128814_01609	ERR193205_01626	ERR221288_01604	ERR221374_00202	ERR278230_01616	ERR278242_01536	ERR278359_00194	ERR278461_00176	ERR343073_00180	ERR356128_00177	ERR593768_00205	H1604_00065	H1605_00176	H1606_01771	H1607_01310	H1608_01681	H1662_00121	H1664_00188	H1666_01117	H1668_00116	H1670_00122	H704_00024	SRR065736_00024
accC		Biotin carboxylase of acetyl-CoA carboxylase	36	36	1	1	289				1331	1331	1331	ERR494558_01477	ERR713656_01511	ERR278423_01130	ERR083948_00835	ERR083973_01027	ERR084064_01819	ERR108372_00281	ERR128814_00907	ERR193205_00948	ERR221288_00804	ERR221374_01527	ERR278230_01125	ERR278242_01115	ERR278359_01768	ERR278461_01697	ERR343073_01237	ERR356128_01812	ERR593768_01470	H1604_01323	H1605_01455	H1606_01314	H1607_01018	H1608_01182	H1662_01387	H1664_01434	H1666_00763	H1668_01437	H1670_01455	H704_01275	SRR065736_01246
fliR		Flagellar biosynthesis protein FliR	36	36	1	1	856				767	767	767	ERR494558_01309	ERR713656_01400	ERR278423_01018	ERR083948_00720	ERR083973_00914	ERR084064_01706	ERR108372_00392	ERR128814_00795	ERR193205_00835	ERR221288_00692	ERR221374_01412	ERR278230_01240	ERR278242_01000	ERR278359_01655	ERR278461_01584	ERR343073_01125	ERR356128_01643	ERR593768_01358	H1604_01213	H1605_01343	H1606_01203	H1607_00906	H1608_01069	H1662_01274	H1664_01319	H1666_01540	H1668_01325	H1670_01343	H704_01164	SRR065736_01134
lgt		prolipoprotein diacylglyceryl transferase	36	36	1	1	2862				815	815	815	ERR494558_00567	ERR713656_00569	ERR278423_00572	ERR083948_00349	ERR083973_00374	ERR084064_00485	ERR108372_01399	ERR128814_01213	ERR193205_00368	ERR221288_00147	ERR221374_00580	ERR278230_00242	ERR278242_00243	ERR278359_00610	ERR278461_00573	ERR343073_01332	ERR356128_00574	ERR593768_00567	H1604_00455	H1605_00562	H1606_00368	H1607_00368	H1608_00352	H1662_00510	H1664_00591	H1666_00360	H1668_00547	H1670_00514	H704_00416	SRR065736_00430
rplR		LSU ribosomal protein L18p (L5e)	36	36	1	1	3076				356	356	356	ERR494558_00135	ERR713656_00136	ERR278423_00136	ERR083948_01650	ERR083973_01704	ERR084064_00150	ERR108372_01691	ERR128814_01654	ERR193205_01670	ERR221288_01645	ERR221374_00153	ERR278230_01665	ERR278242_01586	ERR278359_00153	ERR278461_00132	ERR343073_00135	ERR356128_00132	ERR593768_00161	H1604_00012	H1605_00132	H1606_01727	H1607_01354	H1608_01633	H1662_00077	H1664_00148	H1666_01166	H1668_00072	H1670_00078	H704_01648	SRR065736_01594
pgk		phosphoglycerate kinase	36	36	1	1	2419				1202	1202	1202	ERR494558_01581	ERR713656_01623	ERR278423_01246	ERR083948_01394	ERR083973_01139	ERR084064_00887	ERR108372_00949	ERR128814_01026	ERR193205_01062	ERR221288_01267	ERR221374_01611	ERR278230_01043	ERR278242_01198	ERR278359_01013	ERR278461_01059	ERR343073_01733	ERR356128_01118	ERR593768_01577	H1604_01428	H1605_01560	H1606_01419	H1607_01125	H1608_01264	H1662_01491	H1664_01523	H1666_00844	H1668_01545	H1670_01562	H704_01379	SRR065736_00360
group_2786		Enoyl-[acyl-carrier-protein] reductase [FMN]	36	36	1	1	262				1091	1091	1091	ERR494558_01456	ERR713656_01490	ERR278423_01109	ERR083948_00814	ERR083973_01006	ERR084064_01798	ERR108372_00302	ERR128814_00886	ERR193205_00927	ERR221288_00783	ERR221374_01506	ERR278230_01146	ERR278242_01094	ERR278359_01747	ERR278461_01676	ERR343073_01216	ERR356128_01736	ERR593768_01449	H1604_01303	H1605_01433	H1606_01293	H1607_00997	H1608_01161	H1662_01366	H1664_01413	H1666_00742	H1668_01416	H1670_01434	H704_01254	SRR065736_01225
