Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,OXC8500,OXC8749,OXC8885,OXC4567,OXC6332,OXC6357,OXC6453,OXC6609,OXC6729,OXC7157,OXC7004,OXC7095,OXC7345,OXC7358,OXC7452,OXC4632,OXC7664,OXC6927,H1604,H1605,H1606,H1607,H1608,H1662,H1664,H1666,H1668,H1670,H704,H22082
mqo,,Malate:quinone oxidoreductase,36,36,1,1,1410,,,,1346,1346,1346,OXC8500_00040,OXC8749_00413,OXC8885_01196,OXC4567_00864,OXC6332_01407,OXC6357_00390,OXC6453_01126,OXC6609_01311,OXC6729_00762,OXC7157_00350,OXC7004_00537,OXC7095_00920,OXC7345_00343,OXC7358_00844,OXC7452_00893,OXC4632_00707,OXC7664_00357,OXC6927_00229,H1604_00791,H1605_00768,H1606_00892,H1607_00240,H1608_00593,H1662_00416,H1664_00501,H1666_00171,H1668_00038,H1670_00940,H704_00675,H22082_00003
group_2628,,Putative flagellar motility protein,36,36,1,1,1387,,,,605,605,605,OXC8500_00062,OXC8749_00435,OXC8885_01174,OXC4567_00842,OXC6332_01386,OXC6357_00368,OXC6453_01104,OXC6609_01289,OXC6729_00740,OXC7157_00328,OXC7004_00515,OXC7095_00941,OXC7345_00322,OXC7358_00865,OXC7452_00915,OXC4632_00685,OXC7664_00379,OXC6927_00251,H1604_00769,H1605_00746,H1606_00870,H1607_00218,H1608_00572,H1662_00438,H1664_00478,H1666_00149,H1668_00060,H1670_00918,H704_00697,H22082_01061
gppA_1,,Ppx/GppA family phosphatase,36,36,1,1,1367,,,,1460,1460,1460,OXC8500_00079,OXC8749_00452,OXC8885_01157,OXC4567_00825,OXC6332_01369,OXC6357_00351,OXC6453_01087,OXC6609_01272,OXC6729_00723,OXC7157_00311,OXC7004_00498,OXC7095_00958,OXC7345_00305,OXC7358_00882,OXC7452_00932,OXC4632_00668,OXC7664_00396,OXC6927_00268,H1604_00752,H1605_00729,H1606_00853,H1607_00201,H1608_00555,H1662_00456,H1664_00461,H1666_00132,H1668_00077,H1670_00900,H704_01078,H22082_01078
exbD_2,,TonB system transport protein ExbD,36,36,1,1,2701,,,,389,389,389,OXC8500_00894,OXC8749_01418,OXC8885_00709,OXC4567_01062,OXC6332_01456,OXC6357_01072,OXC6453_00759,OXC6609_00986,OXC6729_00284,OXC7157_00901,OXC7004_00255,OXC7095_00288,OXC7345_00392,OXC7358_00323,OXC7452_00279,OXC4632_00280,OXC7664_00240,OXC6927_00449,H1604_00170,H1605_00280,H1606_00682,H1607_00035,H1608_00803,H1662_01049,H1664_00930,H1666_00958,H1668_00197,H1670_00243,H704_00613,H22082_00594
lptA,,lipopolysaccharide export system protein LptA,36,36,1,1,2028,,,,461,461,461,OXC8500_00279,OXC8749_00149,OXC8885_00856,OXC4567_00455,OXC6332_00768,OXC6357_00668,OXC6453_00428,OXC6609_00676,OXC6729_01172,OXC7157_00771,OXC7004_00783,OXC7095_01314,OXC7345_01389,OXC7358_00990,OXC7452_00447,OXC4632_00969,OXC7664_00689,OXC6927_00709,H1604_00224,H1605_00538,H1606_00426,H1607_00405,H1608_00069,H1662_00280,H1664_00757,H1666_01169,H1668_00985,H1670_00665,H704_01499,H22082_00955
nrdA,,"Ribonucleotide reductase of class Ia (aerobic), alpha subunit",36,36,1,1,1787,,,,2369,2369,2369,OXC8500_00697,OXC8749_00765,OXC8885_00959,OXC4567_00199,OXC6332_00241,OXC6357_00212,OXC6453_00006,OXC6609_00576,OXC6729_00011,OXC7157_00011,OXC7004_00006,OXC7095_00006,OXC7345_00006,OXC7358_00011,OXC7452_00032,OXC4632_00006,OXC7664_00006,OXC6927_01237,H1604_00006,H1605_00006,H1606_00215,H1607_00711,H1608_00470,H1662_00549,H1664_00119,H1666_00342,H1668_00527,H1670_00006,H704_01314,H22082_01216
fur,,ferric uptake regulation protein,36,36,1,1,1417,,,,473,473,473,OXC8500_00033,OXC8749_00406,OXC8885_01203,OXC4567_00871,OXC6332_01414,OXC6357_00397,OXC6453_01133,OXC6609_01318,OXC6729_00769,OXC7157_00357,OXC7004_00544,OXC7095_00913,OXC7345_00350,OXC7358_00837,OXC7452_00886,OXC4632_00714,OXC7664_00350,OXC6927_00222,H1604_00798,H1605_00775,H1606_00899,H1607_00247,H1608_00600,H1662_00409,H1664_00508,H1666_00178,H1668_00031,H1670_00947,H704_00668,H22082_00010
group_2634,,monoheme cytochrome c,36,36,1,1,1807,,,,341,341,341,OXC8500_00677,OXC8749_00746,OXC8885_00980,OXC4567_00179,OXC6332_00222,OXC6357_00193,OXC6453_00025,OXC6609_00557,OXC6729_00030,OXC7157_00030,OXC7004_00025,OXC7095_00025,OXC7345_00025,OXC7358_00030,OXC7452_00051,OXC4632_00026,OXC7664_00025,OXC6927_01217,H1604_00026,H1605_00026,H1606_00196,H1607_00730,H1608_00451,H1662_00569,H1664_00138,H1666_00361,H1668_00506,H1670_00026,H704_01432,H22082_00666
lutA_2,,oxidoreductase ferredoxin-type electron transport protein,36,36,1,1,2520,,,,1265,1265,1265,OXC8500_01321,OXC8749_01109,OXC8885_01292,OXC4567_01454,OXC6332_00393,OXC6357_01494,OXC6453_01469,OXC6609_00901,OXC6729_00843,OXC7157_01439,OXC7004_01208,OXC7095_00378,OXC7345_00996,OXC7358_01352,OXC7452_01422,OXC4632_01249,OXC7664_01518,OXC6927_01409,H1604_00480,H1605_01527,H1606_01195,H1607_01160,H1608_01690,H1662_01594,H1664_01508,H1666_00575,H1668_01608,H1670_01615,H704_01374,H22082_01288
group_2636,,TrkA domain protein,36,36,1,1,2538,,,,1400,1400,1400,OXC8500_01303,OXC8749_01090,OXC8885_01310,OXC4567_01472,OXC6332_00411,OXC6357_01476,OXC6453_01487,OXC6609_00883,OXC6729_00825,OXC7157_01457,OXC7004_01226,OXC7095_00396,OXC7345_00978,OXC7358_01370,OXC7452_01440,OXC4632_01267,OXC7664_01500,OXC6927_01427,H1604_00498,H1605_01509,H1606_01213,H1607_01178,H1608_01672,H1662_01576,H1664_01490,H1666_00593,H1668_01590,H1670_01597,H704_00289,H22082_01196
nuoD,,NADH-ubiquinone oxidoreductase chain D,36,36,1,1,1595,,,,1226,1226,1226,OXC8500_00514,OXC8749_00583,OXC8885_01631,OXC4567_00012,OXC6332_00012,OXC6357_00012,OXC6453_00202,OXC6609_00374,OXC6729_00195,OXC7157_00213,OXC7004_00205,OXC7095_00210,OXC7345_00210,OXC7358_00239,OXC7452_00227,OXC4632_00189,OXC7664_00190,OXC6927_01058,H1604_01276,H1605_00191,H1606_00012,H1607_00913,H1608_00236,H1662_00736,H1664_00315,H1666_00546,H1668_00344,H1670_00194,H704_00517,H22082_01420
Cco24_10850,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASII",36,36,1,1,1463,,,,1214,1214,1214,OXC8500_00492,OXC8749_00364,OXC8885_00251,OXC4567_00721,OXC6332_01173,OXC6357_01169,OXC6453_00224,OXC6609_00299,OXC6729_01384,OXC7157_00508,OXC7004_00343,OXC7095_01167,OXC7345_01149,OXC7358_00667,OXC7452_00650,OXC4632_00755,OXC7664_00902,OXC6927_00494,H1604_00840,H1605_00325,H1606_00536,H1607_00515,H1608_00011,H1662_00011,H1664_00554,H1666_01304,H1668_00768,H1670_00557,H704_00772,H22082_00494
def,,peptide deformylase,36,36,1,1,1191,,,,527,527,527,OXC8500_01594,OXC8749_01504,OXC8885_00012,OXC4567_00315,OXC6332_01106,OXC6357_01227,OXC6453_00922,OXC6609_01645,OXC6729_00574,OXC7157_00452,OXC7004_00640,OXC7095_00833,OXC7345_01082,OXC7358_00553,OXC7452_01092,OXC4632_00538,OXC7664_00545,OXC6927_00046,H1604_01101,H1605_00866,H1606_00586,H1607_00342,H1608_00675,H1662_00852,H1664_01017,H1666_00889,H1668_00578,H1670_00367,H704_00131,H22082_00076
group_264,,FIG00470070: hypothetical protein,36,36,1,1,2619,,,,755,1892,1788,OXC8500_00833,OXC8749_01357,OXC8885_00769,OXC4567_01002,OXC6332_01516,OXC6357_01009,OXC6453_00695,OXC6609_01049,OXC6729_00222,OXC7157_00964,OXC7004_00318,OXC7095_00347,OXC7345_00451,OXC7358_00383,OXC7452_00342,OXC4632_00342,OXC7664_00302,OXC6927_00387,H1604_00106,H1605_00218,H1606_00745,H1607_00098,H1608_00862,H1662_01111,H1664_00867,H1666_01017,H1668_00317,H1670_00307,H704_01043,H22082_00861
cydA,,Cytochrome d ubiquinol oxidase subunit I,36,36,1,1,2728,,,,1562,1562,1562,OXC8500_00867,OXC8749_01391,OXC8885_00736,OXC4567_01035,OXC6332_01488,OXC6357_01045,OXC6453_00732,OXC6609_01013,OXC6729_00256,OXC7157_00928,OXC7004_00282,OXC7095_00319,OXC7345_00423,OXC7358_00355,OXC7452_00306,OXC4632_00307,OXC7664_00267,OXC6927_00422,H1604_00142,H1605_00253,H1606_00709,H1607_00062,H1608_00834,H1662_01076,H1664_00902,H1666_00989,H1668_00224,H1670_00270,H704_00285,H22082_00622
dksA,,DnaK suppressor protein,36,36,1,1,2686,,,,362,362,362,OXC8500_00909,OXC8749_01433,OXC8885_00694,OXC4567_01077,OXC6332_01577,OXC6357_01087,OXC6453_00775,OXC6609_00971,OXC6729_00299,OXC7157_00886,OXC7004_00240,OXC7095_01552,OXC7345_01034,OXC7358_00506,OXC7452_00263,OXC4632_00265,OXC7664_00225,OXC6927_00464,H1604_00186,H1605_00295,H1606_00667,H1607_00020,H1608_01170,H1662_01034,H1664_00946,H1666_01636,H1668_00182,H1670_00228,H704_00597,H22082_00315
pgi,,Glucose-6-phosphate isomerase,36,36,1,1,214,,,,1220,1220,1220,OXC8500_00795,OXC8749_01766,OXC8885_00651,OXC4567_01256,OXC6332_01029,OXC6357_00247,OXC6453_00658,OXC6609_00259,OXC6729_00351,OXC7157_01173,OXC7004_00956,OXC7095_01414,OXC7345_01745,OXC7358_00773,OXC7452_00832,OXC4632_00383,OXC7664_01296,OXC6927_00889,H1604_01238,H1605_01102,H1606_01774,H1607_01771,H1608_01310,H1662_00991,H1664_00023,H1666_00303,H1668_00666,H1670_01103,H704_01636,H22082_00742
gapA,,NAD-dependent glyceraldehyde-3-phosphate dehydrogenase,36,36,1,1,517,,,,998,998,998,OXC8500_01709,OXC8749_01589,OXC8885_00526,OXC4567_00965,OXC6332_00315,OXC6357_00461,OXC6453_00813,OXC6609_00121,OXC6729_00465,OXC7157_01042,OXC7004_01685,OXC7095_00761,OXC7345_00615,OXC7358_01734,OXC7452_00723,OXC4632_01617,OXC7664_01410,OXC6927_00127,H1604_01497,H1605_00985,H1606_01645,H1607_01640,H1608_01720,H1662_01232,H1664_01104,H1666_01722,H1668_01233,H1670_01201,H704_01347,H22082_00204
hemL,,glutamate-1-semialdehyde aminotransferase,36,36,1,1,2366,,,,1274,1274,1274,OXC8500_01453,OXC8749_01245,OXC8885_00386,OXC4567_01325,OXC6332_01705,OXC6357_01636,OXC6453_01286,OXC6609_01147,OXC6729_00976,OXC7157_01300,OXC7004_01069,OXC7095_01694,OXC7345_01615,OXC7358_01215,OXC7452_01239,OXC4632_01120,OXC7664_01654,OXC6927_01280,H1604_00352,H1605_01661,H1606_01056,H1607_01023,H1608_00992,H1662_01728,H1664_01641,H1666_01485,H1668_01739,H1670_01750,H704_00388,H22082_00983
thyX,,Thymidylate synthase thyX,36,36,1,1,1785,,,,623,623,623,OXC8500_00699,OXC8749_00767,OXC8885_00957,OXC4567_00201,OXC6332_00243,OXC6357_00214,OXC6453_00004,OXC6609_00578,OXC6729_00009,OXC7157_00009,OXC7004_00004,OXC7095_00004,OXC7345_00004,OXC7358_00009,OXC7452_00030,OXC4632_00004,OXC7664_00004,OXC6927_01239,H1604_00004,H1605_00004,H1606_00217,H1607_00709,H1608_00472,H1662_00547,H1664_00117,H1666_00340,H1668_00529,H1670_00004,H704_01312,H22082_01214
ctsT,,transformation system protein,36,36,1,1,2918,,,,302,302,302,OXC8500_01235,OXC8749_01021,OXC8885_01380,OXC4567_01540,OXC6332_00478,OXC6357_01405,OXC6453_01564,OXC6609_00811,OXC6729_01497,OXC7157_01529,OXC7004_01297,OXC7095_00463,OXC7345_00911,OXC7358_01437,OXC7452_01516,OXC4632_01337,OXC7664_00997,OXC6927_01498,H1604_00567,H1605_01219,H1606_01340,H1607_01306,H1608_01605,H1662_01508,H1664_01414,H1666_00660,H1668_01520,H1670_01527,H704_00975,H22082_01275
cpxA,,Putative two-component sensor,36,36,1,1,756,,,,1247,1247,1247,OXC8500_01035,OXC8749_00876,OXC8885_01526,OXC4567_01683,OXC6332_00626,OXC6357_00901,OXC6453_01708,OXC6609_01496,OXC6729_01641,OXC7157_01679,OXC7004_01494,OXC7095_00611,OXC7345_00764,OXC7358_01585,OXC7452_01661,OXC4632_01483,OXC7664_01141,OXC6927_01645,H1604_01630,H1605_01364,H1606_01490,H1607_01456,H1608_01457,H1662_01365,H1664_01267,H1666_00808,H1668_01375,H1670_01380,H704_00246,H22082_01631
rpoD,,RNA polymerase sigma factor RpoD,36,36,1,1,2530,,,,1868,1868,1868,OXC8500_01311,OXC8749_01098,OXC8885_01302,OXC4567_01464,OXC6332_00403,OXC6357_01484,OXC6453_01479,OXC6609_00891,OXC6729_00833,OXC7157_01449,OXC7004_01218,OXC7095_00388,OXC7345_00986,OXC7358_01362,OXC7452_01432,OXC4632_01259,OXC7664_01508,OXC6927_01419,H1604_00490,H1605_01517,H1606_01205,H1607_01170,H1608_01680,H1662_01584,H1664_01498,H1666_00585,H1668_01598,H1670_01605,H704_01030,H22082_01188
rhaS,,AraC family transcriptional regulator,36,36,1,1,2871,,,,890,890,890,OXC8500_01269,OXC8749_01056,OXC8885_01345,OXC4567_01506,OXC6332_00445,OXC6357_01442,OXC6453_01522,OXC6609_00849,OXC6729_01464,OXC7157_01491,OXC7004_01259,OXC7095_00430,OXC7345_00944,OXC7358_01404,OXC7452_01474,OXC4632_01301,OXC7664_00964,OXC6927_01461,H1604_00533,H1605_01186,H1606_01302,H1607_01268,H1608_01638,H1662_01542,H1664_01456,H1666_00627,H1668_01556,H1670_01563,H704_00450,H22082_00724
fliR,,Flagellar biosynthesis protein FliR,36,36,1,1,805,,,,767,767,767,OXC8500_01137,OXC8749_00922,OXC8885_01480,OXC4567_01638,OXC6332_00580,OXC6357_00854,OXC6453_01662,OXC6609_01542,OXC6729_01595,OXC7157_01633,OXC7004_01540,OXC7095_00565,OXC7345_00809,OXC7358_01539,OXC7452_01615,OXC4632_01437,OXC7664_01095,OXC6927_01598,H1604_01584,H1605_01318,H1606_01444,H1607_01410,H1608_01503,H1662_01411,H1664_01314,H1666_00762,H1668_01420,H1670_01426,H704_00464,H22082_00875
mraY,,phospho-N-acetylmuramoyl-pentapeptide- transferas e,36,36,1,1,1454,,,,1061,1061,1061,OXC8500_00501,OXC8749_00373,OXC8885_00260,OXC4567_00730,OXC6332_01164,OXC6357_01178,OXC6453_00215,OXC6609_00290,OXC6729_01394,OXC7157_00499,OXC7004_00334,OXC7095_01176,OXC7345_01140,OXC7358_00676,OXC7452_00659,OXC4632_00746,OXC7664_00912,OXC6927_00485,H1604_00831,H1605_00315,H1606_00527,H1607_00506,H1608_00002,H1662_00002,H1664_00545,H1666_01313,H1668_00759,H1670_00566,H704_01478,H22082_00485
coaX,,type III pantothenate kinase,36,36,1,1,1411,,,,629,629,629,OXC8500_00039,OXC8749_00412,OXC8885_01197,OXC4567_00865,OXC6332_01408,OXC6357_00391,OXC6453_01127,OXC6609_01312,OXC6729_00763,OXC7157_00351,OXC7004_00538,OXC7095_00919,OXC7345_00344,OXC7358_00843,OXC7452_00892,OXC4632_00708,OXC7664_00356,OXC6927_00228,H1604_00792,H1605_00769,H1606_00893,H1607_00241,H1608_00594,H1662_00415,H1664_00502,H1666_00172,H1668_00037,H1670_00941,H704_00674,H22082_00004
smpB,,SsrA-binding protein,36,36,1,1,2947,,,,452,452,452,OXC8500_01207,OXC8749_00993,OXC8885_01408,OXC4567_01568,OXC6332_00506,OXC6357_01377,OXC6453_01592,OXC6609_00783,OXC6729_01525,OXC7157_01557,OXC7004_01325,OXC7095_00491,OXC7345_00883,OXC7358_01465,OXC7452_01544,OXC4632_01365,OXC7664_01025,OXC6927_01526,H1604_00595,H1605_01247,H1606_01368,H1607_01334,H1608_01577,H1662_01480,H1664_01385,H1666_00688,H1668_01492,H1670_01499,H704_01003,H22082_00355
mrdB,,RodA protein,36,36,1,1,700,,,,1100,1100,1100,OXC8500_00980,OXC8749_00821,OXC8885_01580,OXC4567_01738,OXC6332_00682,OXC6357_00956,OXC6453_01764,OXC6609_00221,OXC6729_01696,OXC7157_01735,OXC7004_01439,OXC7095_00667,OXC7345_00708,OXC7358_01641,OXC7452_01717,OXC4632_01539,OXC7664_01196,OXC6927_01701,H1604_01685,H1605_01419,H1606_01545,H1607_01511,H1608_01401,H1662_01308,H1664_01210,H1666_00020,H1668_01319,H1670_01324,H704_00191,H22082_01576
ruvB,,Holliday junction DNA helicase RuvB,36,36,1,1,565,,,,1007,1007,1007,OXC8500_01668,OXC8749_01630,OXC8885_00484,OXC4567_00924,OXC6332_00350,OXC6357_00497,OXC6453_00850,OXC6609_00157,OXC6729_00504,OXC7157_01006,OXC7004_01721,OXC7095_00726,OXC7345_00650,OXC7358_01699,OXC7452_00686,OXC4632_01658,OXC7664_01449,OXC6927_00169,H1604_01459,H1605_00945,H1606_01608,H1607_01603,H1608_01755,H1662_01191,H1664_01141,H1666_01686,H1668_01192,H1670_01243,H704_00868,H22082_00523
rpsK,,SSU ribosomal protein S11p (S14e),36,36,1,1,1614,,,,392,392,392,OXC8500_00530,OXC8749_00599,OXC8885_01647,OXC4567_00028,OXC6332_00036,OXC6357_00029,OXC6453_00185,OXC6609_00391,OXC6729_00178,OXC7157_00196,OXC7004_00188,OXC7095_00186,OXC7345_00186,OXC7358_00215,OXC7452_00210,OXC4632_00173,OXC7664_00173,OXC6927_01074,H1604_01293,H1605_00174,H1606_00029,H1607_00896,H1608_00260,H1662_00720,H1664_00298,H1666_00522,H1668_00360,H1670_00178,H704_01454,H22082_00846
purU,,formyltetrahydrofolate deformylase,36,36,1,1,2292,,,,824,824,824,OXC8500_01494,OXC8749_01306,OXC8885_00425,OXC4567_00247,OXC6332_00758,OXC6357_01696,OXC6453_01226,OXC6609_01586,OXC6729_01036,OXC7157_01240,OXC7004_01009,OXC7095_00268,OXC7345_01461,OXC7358_01131,OXC7452_01179,OXC4632_00209,OXC7664_01714,OXC6927_00984,H1604_01532,H1605_01721,H1606_00996,H1607_00963,H1608_01156,H1662_00751,H1664_01704,H1666_01524,H1668_01113,H1670_01130,H704_01603,H22082_00102
cheW,,chemotaxis protein,36,36,1,1,1292,,,,521,521,521,OXC8500_00147,OXC8749_00520,OXC8885_01089,OXC4567_00757,OXC6332_01306,OXC6357_00278,OXC6453_01011,OXC6609_01199,OXC6729_00654,OXC7157_00241,OXC7004_00423,OXC7095_01021,OXC7345_00242,OXC7358_00945,OXC7452_01008,OXC4632_00600,OXC7664_00465,OXC6927_00336,H1604_00684,H1605_00660,H1606_00782,H1607_00130,H1608_00492,H1662_00524,H1664_00384,H1666_00069,H1668_00147,H1670_00832,H704_01292,H22082_00141
tyrA,,prephenate dehydrogenase,36,36,1,1,2681,,,,827,827,827,OXC8500_00914,OXC8749_01438,OXC8885_00689,OXC4567_01082,OXC6332_01572,OXC6357_01092,OXC6453_00780,OXC6609_00966,OXC6729_00304,OXC7157_00881,OXC7004_00235,OXC7095_01547,OXC7345_01029,OXC7358_00501,OXC7452_00258,OXC4632_00260,OXC7664_00220,OXC6927_00469,H1604_00191,H1605_00300,H1606_00662,H1607_00015,H1608_01175,H1662_01029,H1664_00951,H1666_01641,H1668_00177,H1670_00223,H704_00592,H22082_00320
livG,,branched-chain amino-acid ABC transporter ATP-binding protein,36,36,1,1,2544,,,,770,770,770,OXC8500_01296,OXC8749_01083,OXC8885_01317,OXC4567_01479,OXC6332_00418,OXC6357_01469,OXC6453_01494,OXC6609_00876,OXC6729_01437,OXC7157_01464,OXC7004_01232,OXC7095_00403,OXC7345_00971,OXC7358_01377,OXC7452_01447,OXC4632_01274,OXC7664_00937,OXC6927_01434,H1604_00505,H1605_01159,H1606_01219,H1607_01185,H1608_01665,H1662_01569,H1664_01483,H1666_00600,H1668_01583,H1670_01590,H704_00296,H22082_00696
ftsY,,signal recognition particle-docking protein FtsY,36,36,1,1,776,,,,866,866,866,OXC8500_01111,OXC8749_00896,OXC8885_01506,OXC4567_01664,OXC6332_00606,OXC6357_00881,OXC6453_01688,OXC6609_01516,OXC6729_01621,OXC7157_01659,OXC7004_01514,OXC7095_00591,OXC7345_00783,OXC7358_01565,OXC7452_01641,OXC4632_01463,OXC7664_01121,OXC6927_01625,H1604_01610,H1605_01344,H1606_01470,H1607_01436,H1608_01477,H1662_01385,H1664_01288,H1666_00788,H1668_01394,H1670_01400,H704_00265,H22082_01130
hslU,,ATP-dependent hsl protease ATP-binding subunit HslU,36,36,1,1,2016,,,,1319,1319,1319,OXC8500_00268,OXC8749_00138,OXC8885_00868,OXC4567_00444,OXC6332_00264,OXC6357_00680,OXC6453_00439,OXC6609_00664,OXC6729_01159,OXC7157_00783,OXC7004_00771,OXC7095_01055,OXC7345_00483,OXC7358_00289,OXC7452_00436,OXC4632_00982,OXC7664_00676,OXC6927_00721,H1604_00235,H1605_00551,H1606_00438,H1607_00417,H1608_01050,H1662_00291,H1664_00770,H1666_01234,H1668_00997,H1670_00654,H704_01012,H22082_00287
flgH,,Flagellar L-ring protein FlgH,36,36,1,1,1988,,,,698,698,698,OXC8500_00243,OXC8749_00113,OXC8885_00894,OXC4567_00418,OXC6332_01285,OXC6357_00706,OXC6453_00462,OXC6609_00638,OXC6729_01132,OXC7157_00809,OXC7004_00746,OXC7095_01527,OXC7345_00598,OXC7358_00455,OXC7452_00413,OXC4632_01002,OXC7664_00648,OXC6927_00750,H1604_00261,H1605_00577,H1606_00464,H1607_00443,H1608_00787,H1662_00316,H1664_00795,H1666_01369,H1668_01028,H1670_00629,H704_00790,H22082_00219
cynT,,Carbonic anhydrase,36,36,1,1,1239,,,,635,635,635,OXC8500_01555,OXC8749_01543,OXC8885_00813,OXC4567_00276,OXC6332_01137,OXC6357_01266,OXC6453_00962,OXC6609_01684,OXC6729_00610,OXC7157_00414,OXC7004_00602,OXC7095_00802,OXC7345_01113,OXC7358_00584,OXC7452_01052,OXC4632_00498,OXC7664_00509,OXC6927_00085,H1604_01062,H1605_00830,H1606_00624,H1607_00304,H1608_00706,H1662_00812,H1664_01056,H1666_00921,H1668_00618,H1670_00407,H704_00092,H22082_00037
vhb,,Putative bacterial haemoglobin,36,36,1,1,1605,,,,422,422,422,OXC8500_00524,OXC8749_00593,OXC8885_01641,OXC4567_00022,OXC6332_00029,OXC6357_00022,OXC6453_00192,OXC6609_00384,OXC6729_00185,OXC7157_00203,OXC7004_00195,OXC7095_00193,OXC7345_00193,OXC7358_00222,OXC7452_00217,OXC4632_00179,OXC7664_00180,OXC6927_01068,H1604_01286,H1605_00181,H1606_00022,H1607_00903,H1608_00253,H1662_00726,H1664_00305,H1666_00529,H1668_00354,H1670_00184,H704_01460,H22082_01410
group_2666,,integral membrane protein,36,36,1,1,2341,,,,416,416,416,OXC8500_01476,OXC8749_01268,OXC8885_00409,OXC4567_01302,OXC6332_01728,OXC6357_01659,OXC6453_01263,OXC6609_01170,OXC6729_00999,OXC7157_01277,OXC7004_01046,OXC7095_01717,OXC7345_01638,OXC7358_01192,OXC7452_01216,OXC4632_01097,OXC7664_01677,OXC6927_01257,H1604_00329,H1605_01684,H1606_01033,H1607_01000,H1608_01015,H1662_01751,H1664_01664,H1666_01508,H1668_01763,H1670_01773,H704_00365,H22082_01534
eno,,Enolase,36,36,1,1,1740,,,,1244,1244,1244,OXC8500_00612,OXC8749_00681,OXC8885_01758,OXC4567_00114,OXC6332_00150,OXC6357_00136,OXC6453_00082,OXC6609_00497,OXC6729_00091,OXC7157_00090,OXC7004_00082,OXC7095_00097,OXC7345_00097,OXC7358_00102,OXC7452_00108,OXC4632_00086,OXC7664_00086,OXC6927_01157,H1604_01407,H1605_00087,H1606_00136,H1607_00790,H1608_00379,H1662_00634,H1664_00195,H1666_00433,H1668_00446,H1670_00092,H704_00433,H22082_01199
group_2668,,Cytochrome c oxidase subunit CcoO,36,36,1,1,344,,,,665,665,665,OXC8500_00752,OXC8749_01723,OXC8885_00608,OXC4567_01213,OXC6332_00983,OXC6357_00796,OXC6453_00616,OXC6609_00034,OXC6729_00395,OXC7157_01132,OXC7004_01596,OXC7095_01368,OXC7345_01699,OXC7358_00727,OXC7452_00790,OXC4632_00425,OXC7664_01340,OXC6927_00932,H1604_01195,H1605_01057,H1606_01733,H1607_01730,H1608_01264,H1662_00947,H1664_00065,H1666_00257,H1668_00708,H1670_01059,H704_00817,H22082_00420
miaA,,tRNA delta(2)-isopentenylpyrophosphate transferase,36,36,1,1,1161,,,,869,869,869,OXC8500_01620,OXC8749_01478,OXC8885_00038,OXC4567_00341,OXC6332_01088,OXC6357_01200,OXC6453_00895,OXC6609_01728,OXC6729_00550,OXC7157_00477,OXC7004_00667,OXC7095_00852,OXC7345_01064,OXC7358_00535,OXC7452_01119,OXC4632_00562,OXC7664_00569,OXC6927_00021,H1604_01127,H1605_00891,H1606_00559,H1607_00369,H1608_00656,H1662_00877,H1664_00989,H1666_00870,H1668_00553,H1670_00341,H704_01164,H22082_01110
yohD_1,,DedA family protein,36,36,1,1,2447,,,,596,596,596,OXC8500_01384,OXC8749_01176,OXC8885_00321,OXC4567_01394,OXC6332_01639,OXC6357_01565,OXC6453_01356,OXC6609_01076,OXC6729_00907,OXC7157_01371,OXC7004_01140,OXC7095_01628,OXC7345_01549,OXC7358_01281,OXC7452_01309,OXC4632_01190,OXC7664_01584,OXC6927_01350,H1604_00418,H1605_01591,H1606_01127,H1607_01094,H1608_00926,H1662_01659,H1664_01570,H1666_01419,H1668_01669,H1670_01679,H704_00040,H22082_00574
cheV,,Chemotaxis protein CheV,36,36,1,1,1294,,,,956,956,956,OXC8500_00145,OXC8749_00518,OXC8885_01091,OXC4567_00759,OXC6332_01308,OXC6357_00280,OXC6453_01013,OXC6609_01201,OXC6729_00656,OXC7157_00243,OXC7004_00425,OXC7095_01019,OXC7345_00244,OXC7358_00943,OXC7452_01006,OXC4632_00602,OXC7664_00463,OXC6927_00334,H1604_00686,H1605_00662,H1606_00784,H1607_00132,H1608_00494,H1662_00522,H1664_00386,H1666_00071,H1668_00145,H1670_00834,H704_01290,H22082_00143
flhB_1,,flagellar biosynthesis protein FlhB,36,36,1,1,1350,,,,1088,1097,1088,OXC8500_00096,OXC8749_00469,OXC8885_01140,OXC4567_00808,OXC6332_01352,OXC6357_00332,OXC6453_01067,OXC6609_01253,OXC6729_00703,OXC7157_00292,OXC7004_00479,OXC7095_00975,OXC7345_00288,OXC7358_00899,OXC7452_00952,OXC4632_00651,OXC7664_00416,OXC6927_00285,H1604_00735,H1605_00709,H1606_00834,H1607_00182,H1608_00538,H1662_00473,H1664_00441,H1666_00115,H1668_00096,H1670_00883,H704_01097,H22082_01241
