	ERR494558	ERR713656	ERR278423	ERR083948	ERR083973	ERR084064	ERR108372	ERR128814	ERR193205	ERR221288	ERR221374	ERR278230	ERR278242	ERR278359	ERR278461	ERR343073	ERR356128	ERR593768	H1604	H1605	H1606	H1607	H1608	H1662	H1664	H1666	H1668	H1670	H704	SRR065736
murE	663.6	663.6	663.6	663.4	665.0	664.5	665.0	664.5	665.0	665.0	663.4	663.4	663.4	664.5	663.6	664.5	663.6	663.6	663.6	664.5	412.3	665.0	663.4	663.6	664.5	663.4	663.6	663.6	663.6	663.0
putP	885.3	885.3	885.3	884.7	884.1	885.3	884.1	882.6	884.1	884.1	884.7	884.7	884.7	885.3	885.3	882.6	885.3	885.3	885.3	882.6	884.1	884.1	884.7	885.3	885.3	884.7	885.3	885.3	885.3	885.3
group_2984	963.8	963.8	963.8	965.0	968.4	965.3	968.4	966.0	968.4	968.4	965.0	965.0	965.0	965.3	965.9	966.0	965.9	963.8	963.4	966.0	968.4	968.4	965.0	963.8	963.7	965.0	965.9	963.8	963.4	963.4
group_1455	183.4	183.4	183.4	183.7	183.0	183.4	183.0	183.4	183.0	183.0	183.7	183.7	183.7	183.4	183.4	183.4	183.4	183.4	182.6	183.4	183.0	183.0	183.7	183.4	183.4	183.7	183.4	183.4	183.4	183.4
mdtK	907.3	907.3	907.3	907.2	906.9	907.2	906.9	904.4	906.9	906.9	907.2	907.2	907.2	907.2	907.4	904.4	907.4	907.3	907.5	904.4	906.9	906.9	907.2	907.3	907.2	907.2	907.4	907.3	907.8	907.5
group_3269	15.2	15.2	15.2		11.8		11.8	11.8	11.8	11.8						11.8		15.2	15.2	11.8	11.8	11.8		15.2				15.2	15.2	15.2
purF	790.2	790.2	787.6	789.0	790.2	790.2	790.2	789.8	790.2	790.2	789.0	789.0	789.0	790.2	790.2	789.8	790.2	790.2	790.2	789.8	790.2	790.2	789.0	790.2	790.2	789.0	790.2	788.6	790.2	790.2
hisF	295.0	295.0	295.0	302.5	299.3	299.3	299.3	295.0	299.3	299.3	302.5	302.5	302.5	299.3	295.0	295.0	295.0	295.0	295.0	295.0	299.3	299.3	302.5	295.0	299.3	302.5	295.0	295.0	295.0	295.0
sdaC	611.1	611.1	611.1	614.2	610.9	611.1	610.9	613.0	610.9	610.9	614.2	614.2	614.2	612.2	611.1	613.0	611.1	611.1	610.3	613.0	610.9	610.9	614.2	611.1	611.9	614.2	611.1	611.1	613.0	613.0
group_1500	96.6	96.6	96.6	93.1	95.7	95.9	95.7	95.9	95.7	95.7	93.1	93.1	93.1	95.9	94.4	95.9	94.4	96.6	96.6	95.7	95.7	95.7	93.1	96.6	95.9	93.1	94.4	96.6	96.6	96.6
group_1792	534.8	534.8	534.8	538.3	536.9	540.0	536.9	536.1	536.9	536.9	538.3	538.3	538.3	540.0	534.8	536.1	534.8	534.8		536.1	536.9	536.9	538.3	534.8	540.0	538.3	534.8	534.8	534.8	534.8
phoR	474.9	474.9	474.9	473.3	476.5	476.1	476.5	475.0	476.5	476.5	473.3	473.3	473.3	476.1	474.9	475.0	474.9	474.9	474.6	475.0	476.5	476.5	473.3	474.9	472.2	473.3	474.9	474.9	474.9	462.5
group_2891	242.8	242.8	242.8	243.2	243.2	243.2	243.2	243.2	242.8	243.2	243.2	243.2	243.2	243.2	243.2	243.2	243.2	242.8	243.2	243.2	243.2	243.2	243.2	242.8	243.2	243.2	243.2	242.8	243.2	243.2
maf-3		15.0	15.0					15.0								15.0		15.0											15.0	15.0
neuA_3	306.8	306.8	306.8		313.3		316.4	314.8	316.4	316.4					316.4	314.8	315.9	306.8	315.9	314.8	316.4	316.4		306.8			311.9	306.8	315.9	315.9
fdnG	302.2	302.2	302.2	303.2	302.2	302.2	302.2	300.1	302.2	302.2	303.2	303.2	303.2	302.2	302.2	300.1	302.2	302.2	302.2	300.1	302.2	302.2	303.2	302.2	302.2	303.2	302.2	302.2	302.2	302.2
group_1630	307.7	307.7	307.7	301.8	306.0	307.7	306.0	307.7	306.0	306.0	301.8	301.8	301.8	307.7	307.7	307.7	307.7	307.7	307.7	307.7	306.0	306.0	300.8	307.7	307.7	301.8	307.7	307.7	307.7	307.7
dsbI	863.6	863.6	863.6	855.8	856.0	863.0	856.0	863.0	855.6	856.0	855.8	855.8	855.8	863.6	863.6	863.0	863.6	863.6	863.6	864.9	856.0	856.0	855.8	863.6	864.9	855.8	863.6	863.6	863.6	863.6
zupT	561.5	561.5	561.5	561.7		559.8		559.8	560.2		561.7	561.7	561.7	559.8		559.8		561.5	559.8	559.8			561.7	561.5	559.8	559.8		561.5	559.7	559.7
group_1210	196.7	196.7	196.7	196.5	197.6	196.5	197.6	196.7	197.6	197.6	196.5	196.5	196.5	196.5	196.7	196.7	196.7	196.7	196.7	196.7	196.8	196.8	196.5	196.7	196.5	196.5	196.7	196.7	196.7	196.7
ycfH	419.1	419.1	419.1	416.1	419.1	419.4	419.1	418.5	419.1	419.1	416.1	416.1	416.1	419.4	418.9	418.5	418.9	418.7	419.0	419.1	419.1	419.1	416.1	419.1	419.4	416.1	418.9	419.1	419.0	419.0
group_1050	821.1	821.1	821.1	822.7	818.0	819.0	818.0	824.6	818.0	818.0	822.7	822.7	822.7	819.0	821.1	824.6	821.1	820.5	820.2	824.6	818.0	818.0	822.7	821.1	819.0	822.7	822.9	821.1	820.2	820.2
merA						568.2								568.2			568.2								568.2		568.2			568.2
dccR	361.9	361.9	361.9	361.9	361.6	361.9	361.6	361.9	361.9	361.6	361.9	361.9	361.9	361.9	361.9	361.9	361.9	361.9	361.9	361.9	361.6	361.6	361.9	361.9	232.7	361.9	361.9	361.9	361.9	361.9
aarA_1	771.7	771.7	771.7	772.3	772.3	772.3	772.3	772.3	772.3	772.3	772.3	772.3	772.3	772.3	772.3	772.3	772.3	771.7	771.7	772.3	772.3	772.3	773.0	771.7	772.3	772.3	772.3	771.7	771.7	771.7
flhA	871.5	871.5	871.5	871.5	870.6	871.7	870.6	871.5	870.6	870.6	871.5	871.5	871.5	871.7	870.9	871.5	871.5	871.5	870.7	870.0	870.6	870.6	871.5	871.5	871.7	871.5	871.5	871.5	871.8	871.5
group_1317	100.2	100.2	100.2	137.6	137.6	137.6	137.6	137.6	137.6	137.6	137.6	137.6	137.6	137.6	137.6	137.6	137.6	100.2	137.6	137.6	137.6	137.6	137.6	100.2	137.6	137.6	137.6	100.2	137.6	137.6
tatC	379.2	379.2	379.2	380.3	379.2	379.2	379.2	378.0	379.2	379.2	380.3	380.3	380.3	379.2	380.3	378.0	379.2	379.2	380.6	378.0	379.2	379.2	380.3	379.2	379.2	380.3	379.2	379.2	380.6	380.6
cheA	1337.3	1337.3	1337.3	1339.8	1338.7	1339.7	1338.7	1338.7	1338.7	1337.5	1342.4	1342.4	1342.4	1339.7	1337.3	1338.7	1333.5	1337.3	1336.3	1338.7	1338.7	1338.7	1339.9	1337.3	1337.3	1342.4	1335.2	1332.9	1337.3	1337.3
group_2803	318.4	318.4	318.4	318.3	318.4	318.4	318.4	318.4	318.4	318.4	318.3	318.3	318.3	318.4	318.4	318.4	318.4	318.4	318.4	318.4	318.4	318.4	318.3	318.4	318.4	318.3	318.4	318.4	318.4	318.4
aspA	920.0	920.0	920.0	920.0	920.0	920.0	920.0	920.0	920.0	920.0	920.0	920.0	920.0	920.0	920.0	920.0	920.0	920.0	920.0	920.0	920.0	920.0	920.0	920.0	920.0	920.0	920.0	920.0	920.0	920.0
leuC	643.9	643.9	643.9	642.3	644.6	646.3	644.6	644.6	644.6	644.6	642.3	641.1	642.3	646.3	643.9	644.6	643.9	643.9	645.3	644.6	644.1	644.1	642.3	643.9	646.3	642.3	643.9	643.9	645.3	645.3
group_1506				10.8							10.8	10.8	10.8										10.8			10.8
fucP	58.2	58.2	58.2		58.2		58.2	58.2	58.2	58.2					58.2	58.2	58.2	58.2	58.2	58.2	58.2	58.2		58.2			58.2	58.2	58.2	58.2
sodB	363.2	363.2	363.2	363.2	360.5	362.7	360.5	357.3	361.9	360.5	363.2	363.2	363.2	363.2	363.2	357.3	363.2	363.2	363.2	357.3	360.5	360.5	363.2	363.2	363.2	363.2	363.2	363.2	363.2	363.2
fdxA_1	161.1	161.1	161.1	161.4	161.4	161.1	161.4	160.8	161.4	161.4	161.4	161.4	161.4	161.1	161.1	160.8	161.1	161.1	161.1	160.8	161.4	161.4	161.4	161.1	161.1	161.4	161.1	161.1	159.4	159.4
xth	396.7	396.7	396.7	393.8	396.5	396.1	396.5	396.7	396.5	396.5	393.8	393.8	393.8	396.1	396.7	396.7	396.7	396.7	396.1	396.7	396.5	396.5	393.8	396.7	396.1	393.8	396.7	396.7	396.1	396.1
group_1795	236.1	236.1	236.1		233.2	236.1	236.1	236.1	236.1	236.1					235.4	236.1	235.4	236.1	236.1	236.1	236.1	236.1		236.1			235.4	236.1	236.1	236.1
ldh	513.3	513.3	513.3		525.7	524.1	525.7	524.0	525.7	525.7				524.1	471.9	524.0	471.9	513.3	518.4	524.0	525.7	525.7		513.3	524.1		471.9	513.3	520.8	520.8
czcD	430.3	430.3	430.3	436.6	436.7	433.4	436.7	431.6	436.7	436.7	436.6	436.6	436.6	433.4	435.4	431.6	435.4	430.3	435.4	431.6	436.7	436.7	436.6	430.3	433.4	436.6	435.4	312.5	435.4	435.4
tpd	262.5	262.5	262.5	262.5	259.8	262.5	262.5	262.5	262.5	262.5	262.5	262.5	262.5	262.5	262.5	262.5	262.5	262.5	262.5	262.5	262.5	262.5	262.5	262.5	262.5	262.5	262.5	262.5	262.5	262.5
infA	162.4	162.4	162.4	162.4	162.4	162.4	162.4	162.4	162.4	162.4	162.4	162.4	162.4	162.4	162.4	162.4	162.4	162.4	162.4	162.4	162.4	162.4	162.4	162.4	162.4	162.4	162.4	162.4	162.4	162.4
spsE_1						676.1								676.1					674.7						676.1				674.7	674.7
group_339	1232.5	1232.5	1232.5	951.1		1232.5			1229.1		951.1	951.1	951.1	1232.5	1221.5		1232.5		1230.2		1229.1	1229.1	951.1	1232.5	1232.5	951.1	1229.7	1232.5	1230.3	1230.3
prmA	382.1	382.1	382.1	376.0	380.6	380.8	380.6	380.8	380.6	380.6	377.9	377.9	376.0	380.8	380.8	380.8	380.8	382.1	380.6	380.8	380.6	380.6	377.9	382.1	380.8	377.9	380.8	382.1		380.6
copA_2	873.3	873.3	873.3	869.6	870.0	873.3	870.0	873.3	870.0	870.0	869.6	869.6	869.6	873.3	872.1	873.3	872.1	873.3	872.3	873.3	871.7	871.7	869.6	873.3	873.3	869.6	868.3	873.3	876.5	876.5
cjeI	1811.6	775.2	1811.6		1740.9		765.4	1653.9	762.6	765.4					1627.1	1653.9	1677.0	1811.6	1715.0	1657.9	959.2	959.2		1811.6			1677.0		1715.0	1524.2
kgtP	139.9	139.9	139.9	139.9	137.9	139.9	137.9	139.9	137.9	137.9	139.9	139.9	139.9	139.9	139.9	139.9	139.9	139.9	139.9	139.9	137.9	137.9	114.6		139.9				139.9	139.9
xpsD	347.7	347.7	347.7	347.3	347.6	347.6	341.3	347.6		347.6	347.3	347.3	347.3	347.6	347.7	347.6	347.7	347.7	347.3	347.6	347.6	347.6	346.7	347.7	347.6	347.3	335.7	347.7	347.7	347.7
ybeB	183.2	183.2	183.2	181.9	181.0	181.9	181.0	181.2	181.0	181.0	181.9	181.9	181.9	181.9	181.2	181.2	181.9	183.2	181.7	181.2	181.0	181.0	181.9	183.2	181.9	181.9	181.2	183.2	181.7	181.7
coaBC	544.4	544.4	544.4	547.2	543.0	543.9	543.0	544.7	543.0	543.0	547.2	547.2	547.2	543.9	544.8	544.7	544.8	544.4	544.7	544.7	543.0	543.0	547.2	544.4	541.4	547.2	544.8	544.4	544.7	544.7
nadE	369.3	369.3	369.3	361.8	369.8	369.1	369.8	369.8	369.8	369.8	361.8	361.8	361.8	369.1	369.3	369.8	369.3	369.3	369.3	369.8	369.8	369.8	361.8	369.3	369.3	361.8	369.3	369.3	369.3	369.3
ffh	642.0	642.0	642.0	641.9	641.7	641.6	641.7	644.0	641.7	641.7	641.9	641.9	641.9	641.6	642.0	644.0	642.0	642.0	640.3	644.0	641.7	641.7	641.9	642.0	641.6	641.9	642.0	642.0	640.3	640.3
group_1255	30.0	30.0	30.0	27.8	29.8	29.8	29.8	29.8	29.8	29.8	27.8	27.8	27.8	29.8	30.0	29.8	30.0	30.0	30.0	29.8	29.8	29.8	27.8	30.0	29.8	27.8	30.0		30.0	30.0
group_494	173.3				173.3	140.4		173.0	172.7					173.2	173.3	173.0			173.3	173.0					140.4		173.9			173.3
macB_1	1110.2	1110.2	1110.2	1109.7	1106.6	1110.0	1106.6	1110.5	1106.6	1104.9	1108.5	1108.5	1109.7	1110.0	1110.0	1110.5	1110.0	1110.2	1108.0	1110.5	1106.6	1106.6	1109.7	1110.2	1110.0	1109.7	1110.0	1110.2	1108.0	1108.0
group_829	373.4	373.4	373.4	372.2	371.6	375.4	371.6	372.7	371.6	371.6	372.2	372.2	372.2	375.4	375.4	372.7	375.4	373.4	373.4	372.7	371.6	371.6	372.2	373.4	375.4	372.2	375.4	373.4	373.4	373.4
group_1130				342.5	337.9						342.5	342.5	342.5						341.6				342.5			342.5			341.6	341.6
thrC	714.5	714.5	714.5	714.5	711.8	712.0	711.8	714.0	711.8	711.8	714.5	714.5	714.5	712.0	714.5	714.0	714.5	714.5	712.5	714.0	711.8	711.8	714.5	714.5	712.0	714.5	713.0	714.5	712.5	712.5
dnl1	381.5	381.5	381.5		383.8	382.6	383.8	382.8	383.8	383.8	384.1	384.1		382.6	381.5	382.8	381.5	381.5		382.8	383.8	383.8		381.5	382.6	384.1	381.5	376.2	381.5	381.5
rluB	406.8	406.8	406.8	406.7	406.8	406.8	406.8	406.5	406.8	406.8	406.7	406.7	406.7	406.8	406.8	406.5	406.8	406.8	406.8	406.5	406.8	406.8	406.7	406.8	406.8	406.7	406.8	406.8	406.8	406.8
sucD	560.2	560.2	560.2	557.0	560.3	559.5	560.3	560.3	560.3	560.3	557.0	557.0	557.0	559.5	560.3	560.3	560.3	560.2	559.3	557.2	560.3	555.4	557.0	560.2	559.5	557.0	560.3	560.2	560.3	559.3
group_519	529.9	529.9	529.9	532.6	534.2	529.7	534.2	529.7	534.8	534.2	532.6	532.6	532.6	529.7	524.6	529.7	524.6	529.9	529.9	529.7	534.8	534.8	532.6	529.9	529.7	532.6	524.6	529.9	531.5	531.5
napH	403.6	403.6	403.6	403.4	403.6	403.6	403.6	399.1	403.6	403.6	403.4	403.4	403.4	403.6	403.6	402.6	403.6	403.6	403.6	402.6	403.6	403.6	403.4	403.6	403.6	403.4	403.6	403.6	403.6	403.6
fliD	637.8	637.8	637.8		639.6	637.3	639.6	639.4	639.6	639.6				637.3	637.3	639.4	637.3	637.8	636.5	639.4	639.6	639.6		637.8	637.3		637.3	637.1	636.5	636.5
cirA_1				341.9	44.6		44.6	42.5	34.4	44.6	341.9	341.9	341.9			42.5			38.6	42.5	44.6	44.6	341.9			341.9			38.6	38.6
napA	1077.2	1077.2	1077.2	1077.2	1077.2	1075.1	1077.2	1077.2	1077.2	1077.2	1077.2	1077.2	1077.2	1075.1	1077.2	1077.2	1077.2	1077.2	1077.2	1077.2	1077.2	1077.2	1077.2	1075.0	1075.1	1077.2	1077.2	1077.2	1077.2	1077.2
rluD		368.4		365.8	368.2	368.1	368.0	368.1	368.0	368.0	365.8	365.8	365.8	367.4	367.4	368.1	368.1		368.1	367.1	368.0	368.0	365.8		367.1	365.8	282.7	368.4		368.1
wcaJ	333.4	333.4	333.4	330.5	328.6	333.4	328.6	329.3	333.4	328.6	330.5	330.5	330.5	333.4	333.4	329.3	333.4	333.4	332.4	329.3	333.4	333.4	330.5	333.4	333.4	330.5	333.4	333.4	332.4	332.4
group_1379	227.7	227.7	227.7	225.7	226.1	227.7	226.1	227.1		226.1	225.7	225.7	225.7	227.7	227.7	227.1	227.7	227.7	227.7	227.1			225.7	227.7	212.4	225.7	227.7	227.7	227.7	227.7
metE	1195.9	1195.9	1195.9	1192.2	1199.6	1200.7	1199.6	1200.7	1199.6	1199.6	1192.2	1192.2	1192.2	1200.7	1198.2	1200.7	1198.2	1195.9	1200.0	1200.7	1199.6	1199.6	1192.2	1195.9	1200.7	1192.2	1200.7	1195.9	1200.9	1200.9
nnr	439.7	439.7	439.7	440.9	438.4	439.1	438.4	441.7	438.4	438.4	441.2	441.2	440.9	439.1	440.4	441.7	440.4	439.7	440.4	441.7	438.4	438.4	441.2	439.7	439.1	441.2	440.4	439.7	440.4	440.4
group_957	276.8	276.8	276.8	273.7	273.3	275.4	273.3	269.6	273.3	273.3	273.7	273.7	273.7	275.4	277.2	269.6	277.2	276.8	277.2	269.8	273.3	273.3	273.7	276.8	275.4	273.7	277.2	276.8	276.8	276.8
cysM	479.3	479.3	479.3	475.7	479.3	478.5	479.3	480.0	479.3	479.3	475.7	475.7	475.7	478.5	478.2	480.0	478.2	479.3	479.3	480.0	479.3	479.3	475.7	479.3	476.3	475.7	478.2	239.7	479.3	479.3
group_1503	346.3	346.3	346.3		345.5		345.5		345.5	345.5					346.3		346.3	346.3	346.3	345.5	345.5	345.5		346.3			346.3	346.3	346.3	346.3
rpmC	110.5	110.5	110.5	110.5	110.5	110.5	110.5	110.5	110.5	110.5	110.5	110.5	110.5	110.5	110.5	110.5	110.5	110.5	110.5	110.5	110.5	110.5	110.5	110.5	110.5	110.5	110.5	110.5	110.5	110.5
hemN_2	820.8	820.8	820.8	820.1	812.8	820.3	812.8	814.1	813.4	812.8	820.1	820.1	820.1	820.3	822.7	814.1	822.7	820.8	821.0	814.1	812.8	812.8	820.1	820.8	820.3	820.1	822.7	820.6	821.0	821.0
cas2	210.4	210.4	210.4	210.4	210.4	210.4	210.4	210.4	210.4	210.4	210.4	210.4	210.4	210.4	210.4	210.4	210.4	210.4	210.4	210.4	210.4	210.4	210.4	210.4	210.4	208.6	210.4	210.4	210.4	210.4
tatA	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
group_2795	515.9	515.9	515.9	515.0	514.9	513.5	514.9	515.9	514.9	514.9	515.0	515.0	515.0	513.5	514.9	515.9	515.9	515.9	515.0	515.9	514.9	514.9	515.0	515.9	513.5	515.0	515.9	515.9	515.8	515.8
group_2947	229.5	229.5	229.5	228.4	226.1	229.5	226.1	229.5	226.1	226.1	228.4	228.4	228.4	229.5	229.5	229.5	229.5	229.5	227.8	229.5	226.1	226.1	228.4	229.5	229.5	228.4	229.5	229.5	227.8	227.8
yliG	745.3	745.3	745.3	745.9	748.0	747.3	748.0	744.6	748.0	748.0	745.9	745.9	745.9	747.3	742.7	744.6	745.3	745.3	747.4	744.6	748.0	748.0	745.9	745.3	747.3	745.9	745.3	744.4	747.4	747.4
kipI	375.4	375.4	375.4	373.5	375.4	375.4	372.5	374.0	372.5	372.5	373.5	373.5	373.5	375.4	375.4	374.0	375.4	375.4	373.3	374.0	372.5	372.5	373.5	375.4	375.4	373.5	375.4	375.4	373.3	373.3
rpmF	111.0	111.0	111.0	111.0	111.0	111.0	111.0	111.0	111.0	111.0	111.0	111.0	111.0	111.0	111.0	111.0	111.0	111.0	111.0	111.0	111.0	111.0	111.0	111.0	111.0	111.0	111.0	111.0	111.0	111.0
group_3302	43.5	43.5	43.5	44.0	43.8	43.6	43.8	43.8	43.8	43.8	44.0	44.0	44.0	43.6	43.5	43.8	43.5	43.5	43.6	43.8	43.8	43.8	44.0	43.5	43.6	44.0	43.5	43.5	43.6	43.6
rimM	65.7	65.7	65.7	65.7	65.7	65.7	65.7	63.0	65.7	65.7	65.7	65.7	65.7	65.7	65.7	63.0	65.7	65.7	65.7	63.0	65.7	65.7	65.7	65.7	65.7	65.7	65.7	65.7	65.7	65.7
Cco24_10850	774.7	774.7	774.7	775.8	773.4	774.7	776.7	775.8	776.7	776.7	775.8	775.8	775.8	774.7	774.7	775.8	774.7	774.7	774.7	775.8	776.7	776.7	775.8	774.7	774.7	775.8	774.7	774.7	774.7	774.7
rhaS	520.8	520.8	520.8	520.8	520.8	520.8	520.8	520.8	520.8	520.8	520.8	520.8	520.8	520.8	520.8	518.4	520.8	520.8	520.8	520.8	520.8	520.8	520.8	520.8	520.8	520.8	520.8	520.8	520.8	520.8
group_2246						71.4								71.4	71.4		71.4		71.4						71.4		71.4		71.4	71.4
aer_1	261.8	261.8	261.8	260.2	261.8	262.9	261.8	261.8	261.8	261.8	260.2	260.2	260.2	258.7	261.8	261.8	261.8	261.8	261.8	261.8	261.8	261.8	260.2	259.2	262.9	260.2	262.9	261.8	262.9	262.9
group_904	415.6	415.6	415.6	420.6	414.7	419.0	414.7	418.3	414.7	414.7	420.6	420.6	420.6	419.0	419.5	418.3	419.5	415.6	419.5	418.3	419.5	419.5	420.6	415.6	419.0	420.6	419.5	415.6	419.5	419.6
recB	997.4	997.4	997.4	994.8	994.8	997.4	994.8	995.9	995.9	994.8	994.8	994.8	994.8	997.4	997.4	995.9	997.4	997.4	997.8	995.9	995.9	995.9	994.8	997.4	997.4	994.8	997.4	997.4	997.8	997.8
uxaA	708.0	703.0	708.0		708.0		708.0	708.0	708.0	708.0					708.0	708.0	708.0	703.0	706.7	708.0	708.0	708.0		703.0			708.0	703.0	706.7	706.7
araJ	518.0	518.0	518.0	516.2	521.3	518.5	521.3	519.9	521.3	521.3	516.2	516.2	516.2	518.5	518.5	519.9	517.8	518.0	518.0	521.3	521.3	521.3	516.2	518.0	518.5	516.2	518.5	518.0	518.0	518.0
ribD	480.7	480.7	480.7	481.1	477.5	478.9	477.5	479.9	477.5	477.5	481.1	481.1	481.1	479.7	478.9	479.9	478.9	480.7	478.9	479.9	477.5	477.5	481.1	480.7	478.6	481.1	477.5	480.7	478.9	478.9
rfbF_1	523.7	523.7	523.7		526.3		524.7	521.9	524.7	524.7					526.4	521.9	526.4	523.7	526.4	519.9	524.7	524.7		523.7			526.4	523.7	526.4	526.4
group_3179	27.2	27.2	27.2	25.5	27.2	27.2	27.2	27.2	27.2	27.2	25.5	25.5	25.5	27.2	26.7	27.2	26.7	27.2	27.2	27.2	27.2	27.2	25.5	27.2	27.2	25.5	26.7	27.2	27.2	27.2
glmM	792.0	792.0	792.0	794.9	794.3	794.6	794.3	792.0	794.3	794.3	794.9	794.9	794.9	794.6	792.0	792.0	792.0	792.0	792.0	792.0	794.3	794.3	794.9	792.0	794.1	794.9	792.0	792.0	792.0	792.0
gppA_1	711.6	711.6	711.6	713.1	713.0	713.1	713.0	713.3	713.0	713.0	713.1	713.1	713.1	713.1	711.6	713.3	711.6	711.6	711.6	713.3	713.0	713.0	713.1	711.6	713.1	713.1	711.6	711.0	711.6	711.6
nagD	412.9	412.9	412.9	414.4	412.6	414.2	412.6	414.4	412.6	412.6	414.4	414.4	414.4	414.2	412.9	414.4	412.9	412.9	412.9	414.4	412.6	412.6	414.4	412.9	414.2	414.4	412.9	412.9	412.9	412.9
group_2639																			664.2										664.2	664.2
group_585	669.0	669.0	669.0	660.9							660.9	660.9	660.9		668.6		668.6	669.0	422.5		669.0	669.0	660.9	669.0	667.7	660.9	395.9	669.0	669.0	669.0
group_1245	316.1	316.1	316.1	316.4	316.8	314.1	316.8	316.8	316.8	316.8	316.4	316.4	316.4	314.1	316.8	316.8	316.8	316.1	316.8	316.8	316.8	316.8	316.4	316.1	314.1	316.4	314.1	316.1	316.8	316.8
folD	484.5	484.5	484.5	480.1	486.0	484.5	486.0	487.4	486.0	486.0	480.1	480.1	480.1	484.5	486.0	487.4	486.0	484.5	485.8	487.4	486.0	486.0	480.1	484.5	484.5	480.1	486.0	484.5	485.8	485.8
tcyP	874.8	874.8	874.8	866.1	873.4	872.6	875.2	872.8	874.1	875.2	866.1	866.1	866.1	872.6	877.1	872.8	877.1	874.8	875.3	872.8	875.2	875.2	866.1	874.8	874.2	866.1	877.1	869.5	875.3	875.3
group_581	412.5	412.5	412.5	418.0	413.6	417.9	413.6	417.9	413.6	413.6	418.0	418.0	418.0	417.9	414.5	417.9	414.5	412.5	415.5	412.5	413.6	413.6	418.0	412.5	417.9	418.0	414.5	213.5	412.5	412.5
rsmE	290.6	290.6	290.6	290.1	290.6	290.6	290.6	289.1	290.6	290.6	290.1	290.1	290.1	290.6	290.6	289.1	290.6	290.6	290.6	289.1	290.6	290.6	290.1	290.6	290.6	290.1	290.6	290.6	290.6	290.6
group_451	153.0	103.9	153.0		153.0	153.0								153.0	153.0		153.0	153.0	153.0					153.0	153.0		153.0	153.0	153.0	153.0
group_1259	37.8	37.8	37.8		41.1	37.5	41.1	36.7	41.5	41.1				37.5	40.6	36.7	40.6	37.8	40.5	36.7	41.5	41.5		37.8	37.5		40.6	37.8	40.5	40.5
efp	367.7	367.7	367.7	367.7	367.7	367.7	367.7	367.7	367.7	367.7	367.7	367.7	367.7	367.7	367.7	367.7	367.7	367.7	367.7	367.7	367.7	367.7	367.7	367.7	367.7	367.7	367.7	367.7	367.7	367.7
group_970	18.1	18.1	18.1	17.8	17.8	18.1	17.8	18.1	17.8	17.8	17.8	17.8	17.8	18.1	18.1	18.1	18.1	18.1	17.8		17.8	17.8	17.8	18.1	18.1	17.8	18.1	18.1	17.7	17.7
hag	369.9	369.9	369.9	366.9	370.6	372.2	370.6	372.2	370.6	370.6	366.9	366.9	366.9	372.2	369.9	372.2	369.9	369.9	369.9	372.2	370.6	370.6	366.9	369.9	372.2	366.9	369.9	369.9	369.9	369.9
group_233															17.1			19.3	22.4	23.1	20.7	20.7							21.7	21.7
priA	892.9	892.9	892.9	893.7	894.7	894.3	894.7	896.3	894.7	894.7	893.7	893.7	893.7	894.3	896.1	896.3	896.7	892.9	891.9	896.3	894.7	894.7	893.7	892.9	893.5	893.7	896.8	892.0	891.9	891.9
waaC	419.0	419.0	419.0	419.8	420.2	421.2	420.2	419.8	420.2	420.2	419.8	419.8	419.8	421.2	421.0	419.8	421.0	419.0	421.0	419.8	420.2	420.2	419.8	419.0	421.2	419.8	419.0	419.0	421.0	421.0
group_1750	16.8	16.8	16.8	17.0	16.8	16.4	16.8	16.8	16.8	16.8	17.0	17.0	17.0	16.4	16.8	16.8	16.8	16.8	16.6	16.4	16.8	16.8	17.0	16.8	16.4	17.0	16.8	16.8	16.8	16.8
fur	249.8	249.8	249.8	249.8	249.8	249.8	249.8	249.7	249.8	249.8	249.8	246.3	249.8	249.8	249.8	249.7	249.8	249.8	249.8	249.7	249.8	249.8	249.8	249.8	249.8	249.8	249.8	249.8	249.8	249.8
rpmA	178.9	178.9	178.9	178.9	178.9	178.9	178.9	178.9	178.9	178.9	178.9	178.9	178.9	178.9	178.9	178.9	178.9	178.9	178.9	178.9	178.9	178.9	178.9	178.9	178.9	178.9	178.9	178.9	178.9	178.9
group_1304	33.3	33.3	33.3	35.0	33.1	33.1	33.1	31.6	33.1	33.1	35.0	35.0	35.0	33.1	33.3	31.6	33.3	33.3	33.1	31.6	33.1	33.1	35.0	33.3	33.1	35.0	33.3	33.3	33.1	33.1
fokIM	494.0	494.0	494.0	490.8	494.0	494.0	494.0	491.5	494.0	494.0	490.8	490.8	490.8	493.3	481.6	491.5	494.0	494.0	494.0	494.2	494.0	494.0	490.8	310.0	494.0	490.8	494.0	494.0	494.0	494.0
pnk	476.0	476.0	476.0	473.3	474.3	475.0	474.3	474.9	474.3	474.3	473.3	473.3	473.3	475.0	474.3	474.9	474.3	476.0	474.3	474.9	474.3	474.3	473.3	476.0	475.0	473.3	474.3	476.0	474.3	474.3
